PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,OPENPRC
90319,10/22/2014,GOOGL,540.22998,550.76001,542.69000,2974550,541.04999
90319,10/23/2014,GOOGL,545.50000,557.40002,553.65002,2154288,548.28003
90319,10/24/2014,GOOGL,545.15997,555.00000,548.90002,2175767,554.97998
90319,10/27/2014,GOOGL,547.20001,554.00000,549.88000,1598409,547.76001
90319,10/28/2014,GOOGL,550.42999,559.20001,558.94000,1739679,551.71002
90319,10/29/2014,GOOGL,555.97998,564.96997,558.45001,2053355,560.84998
90319,10/30/2014,GOOGL,552.13000,562.50000,560.27002,1612509,558.25000
90319,10/31/2014,GOOGL,564.81000,568.72998,567.87000,2341539,568.29999
90319,11/03/2014,GOOGL,561.63000,567.15002,563.77002,1544338,563.53003
90319,11/04/2014,GOOGL,558.29999,564.78998,564.19000,1386509,561.15997
90319,11/05/2014,GOOGL,554.15002,566.90002,555.95001,1645264,566.78998
90319,11/06/2014,GOOGL,550.58002,556.79901,551.69000,1650721,555.50000
90319,11/07/2014,GOOGL,549.34998,555.59998,551.82001,1589131,555.59998
90319,11/10/2014,GOOGL,551.62000,560.63000,558.22998,1304481,552.40002
90319,11/11/2014,GOOGL,556.24188,562.50000,561.28998,1100179,558.52002
90319,11/12/2014,GOOGL,555.50000,561.25000,558.25000,1094114,561.15002
90319,11/13/2014,GOOGL,554.09003,560.81989,556.44000,1513689,560.81000
90319,11/14/2014,GOOGL,552.51001,558.00000,555.19000,1425060,558.00000
90319,11/17/2014,GOOGL,544.44000,555.19000,546.64001,1680621,555.19000
90319,11/18/2014,GOOGL,543.79999,552.78998,544.51001,1822166,547.92999
90319,11/19/2014,GOOGL,539.19000,548.21997,547.20001,1517286,544.75000
90319,11/20/2014,GOOGL,541.50000,545.38000,543.76001,1750758,542.09003
90319,11/21/2014,GOOGL,545.00000,551.03998,545.89001,2505988,551.03998
90319,11/24/2014,GOOGL,544.15002,551.19000,547.47998,1653773,546.57001
90319,11/25/2014,GOOGL,546.90997,552.50000,549.22998,1906859,547.21002
90319,11/26/2014,GOOGL,545.22998,549.88000,547.72998,1480319,549.22998
90319,11/28/2014,GOOGL,544.48010,549.59998,549.08002,1210061,547.00000
90319,12/01/2014,GOOGL,538.62000,548.78998,539.65002,1994399,545.09003
90319,12/02/2014,GOOGL,534.65698,541.84998,538.59003,2073974,539.45001
90319,12/03/2014,GOOGL,535.21002,541.40503,536.96997,1623977,537.50000
90319,12/04/2014,GOOGL,534.89001,542.69000,542.58002,1728738,537.64001
90319,12/05/2014,GOOGL,527.26001,538.20001,528.08002,3070118,536.70001
90319,12/08/2014,GOOGL,527.00000,533.81500,530.72998,3231818,529.21997
90319,12/09/2014,GOOGL,523.40997,536.65002,536.10999,2166713,525.87500
90319,12/10/2014,GOOGL,527.48999,539.35999,528.03998,2316204,535.90002
90319,12/11/2014,GOOGL,529.15997,537.03998,532.10999,2073290,530.01001
90319,12/12/2014,GOOGL,521.46002,532.23999,521.51001,2371543,527.44000
90319,12/15/2014,GOOGL,515.39697,525.37000,515.84003,2621977,523.76001
90319,12/16/2014,GOOGL,497.19000,515.58002,498.16000,4349928,513.59998
90319,12/17/2014,GOOGL,499.10999,509.07001,506.45001,3639537,499.85999
90319,12/18/2014,GOOGL,506.56000,516.25000,514.62000,3876732,515.98999
90319,12/19/2014,GOOGL,508.85999,520.81000,520.03998,4872059,516.98999
90319,12/22/2014,GOOGL,520.59003,532.96997,532.29999,3320273,520.60999
90319,12/23/2014,GOOGL,533.71997,542.29999,538.77002,2877829,534.51001
90319,12/24/2014,GOOGL,535.09998,540.28998,536.92999,737848,538.82001
90319,12/26/2014,GOOGL,535.48999,543.25000,541.52002,1113464,536.92999
90319,12/29/2014,GOOGL,537.15997,543.92999,537.31000,2218632,540.50000
90319,12/30/2014,GOOGL,533.60999,537.84003,535.28003,1048631,534.96002
90319,12/31/2014,GOOGL,530.20001,538.40002,530.65997,1236445,537.73999
90319,01/02/2015,GOOGL,527.88000,535.79999,529.54999,1327870,532.59998
90319,01/05/2015,GOOGL,517.75000,527.98993,519.46002,2059119,527.15002
90319,01/06/2015,GOOGL,505.54999,521.21002,506.64001,2731813,520.50000
90319,01/07/2015,GOOGL,503.64999,511.48999,505.14999,2345875,510.95001
90319,01/08/2015,GOOGL,495.01999,507.50000,506.91000,3662224,501.51001
90319,01/09/2015,GOOGL,498.64999,508.60001,500.72000,2100024,508.17999
90319,01/12/2015,GOOGL,490.91000,500.28000,497.06000,2856938,499.23999
90319,01/13/2015,GOOGL,497.26001,508.60001,501.79999,3050295,502.57001
90319,01/14/2015,GOOGL,498.16000,508.26001,505.92999,2646824,500.42001
90319,01/15/2015,GOOGL,502.01001,509.75000,504.01001,2556682,508.89001
90319,01/16/2015,GOOGL,503.09000,510.85001,510.45499,2482858,503.14999
90319,01/20/2015,GOOGL,509.37000,515.60999,509.94000,2343812,512.77002
90319,01/21/2015,GOOGL,509.59000,521.85101,520.39001,2317789,510.84000
90319,01/22/2015,GOOGL,521.90997,538.84003,537.29999,2803401,523.00000
90319,01/23/2015,GOOGL,535.75079,545.40997,541.95001,2298290,538.03003
90319,01/26/2015,GOOGL,532.07001,541.50000,536.71997,1546800,541.50000
90319,01/27/2015,GOOGL,520.86121,532.78003,521.19000,1957640,531.40002
90319,01/28/2015,GOOGL,512.34998,525.69000,512.42999,1791077,525.00000
90319,01/29/2015,GOOGL,503.48001,515.19000,513.22998,3950857,512.90002
90319,01/30/2015,GOOGL,518.17999,543.09998,537.54999,6055645,519.00000
90319,02/02/2015,GOOGL,521.71997,536.50000,532.20001,3769161,534.32001
90319,02/03/2015,GOOGL,526.81000,537.45001,533.29999,2353096,529.94000
90319,02/04/2015,GOOGL,525.03003,536.74597,526.09998,1694832,533.14001
90319,02/05/2015,GOOGL,525.64001,530.69000,529.83002,1658751,527.92999
90319,02/06/2015,GOOGL,528.65002,540.21503,533.87500,2146922,531.01001
90319,02/09/2015,GOOGL,527.54999,533.88000,529.28003,1515687,531.06000
90319,02/10/2015,GOOGL,529.17249,541.00000,540.15997,2371468,532.15002
90319,02/11/2015,GOOGL,536.00000,541.95001,538.00000,1915336,539.72998
90319,02/12/2015,GOOGL,537.00000,548.34003,546.01001,2429520,539.65997
90319,02/13/2015,GOOGL,546.59998,552.53998,551.15997,2369115,547.51001
90319,02/17/2015,GOOGL,543.26001,553.00000,545.01001,1958679,551.15997
90319,02/18/2015,GOOGL,539.54999,547.54999,542.65002,1558153,543.82001
90319,02/19/2015,GOOGL,540.75000,546.85999,546.45001,1541669,542.46997
90319,02/20/2015,GOOGL,538.09998,547.58002,541.79999,1918332,547.58002
90319,02/23/2015,GOOGL,532.00000,539.29999,535.00000,1645276,539.00000
90319,02/24/2015,GOOGL,531.00000,539.40002,538.65002,1421373,531.54999
